nom_adjudicatari,nif,nombre_contractes,total_import_iva_inclos
+ EDUCACIO SCCL,F67197368,1,9700.0
"1897 AUDIOVISUALS, SL",B16738411,2,2344.38
2 PI R INGENIEROS -1 S.L.,B60986924,1,18089.5
"23-45 ARQUITECTES ASSOCIATS, S",B64592454,1,16333.91
2BGARQTES SOC. CIVIL PROFESION,J64116635,1,5808.0
2BMFG ARQUITECTES SLP,B65595308,3,12717.099999999999
2R SYSTEM SL,B60766896,2,11891.97
360 FOOD SOLUTIONS,B65421653,1,2838.0
3POC CONSULTING SL,B66405788,2,25938.09
5ASEC ESPAÑA SAU,A79540787,1,46464.0
7 D'AVENTURA S.L.,B65392615,4,116242.11
9 TEAM GRUP SL,B65054975,2,96509.03
A ASSO CULT COLLECTIU AGUDELLS,G58127770,1,1403.98
A PEU DE PAGINA S.L.N.E.,B64836778,1,990.72
A.B.D. ASOC. BIENESTAR Y DESAR,G59435180,5,52470.05
A12 ESTUDIS I RESERCA INTERUNI,G64798549,1,4724.0
AB VANDEKERCKHOVE SL,B29685971,1,734.52
"ABACUS, S.C.C.L.",F08226714,9,12115.56
"ABAD SALTÓ AUDITORS, SLP",B43966696,1,5989.5
ABALINGUA GLOBAL SOLUTIONS SL,B60809142,1,1522.18
AB-AUCATEL INSPECCION Y CONTRO,B63817191,3,12563.6
ABECE D'IDEES SAL,A66829532,2,3900.0
"ABOLAFIO CONSTRUCCIONS, S.L.",B62752316,4,298211.33
ABYMATIC SISTEMAS S.L.,B83971614,2,50374.67
AC LEGAL ABOGADOS Y ASESORES L,B66385790,2,4083.75
ACCEM,G79963237,19,166038.69
ACCENT SOCIAL S.L.,B66808213,1,1664.96
ACCES SERVEIS I CENTRE D'ESTUD,B61482618,1,16743.38
ACCÉS VERTICAL SL,B64037609,4,17662.149999999998
ACCESIBILITAT GLOBAL INT.LLENG,B64756794,5,20274.219999999994
ACCID - ASSOC CAT COMPT. I DIR,G63009120,1,600.0
"ACCIONA FACILITY SERVICES, S.A",A08175994,3,11160.7
ACEINSA MOVILIDAD S.A.,A84408954,1,14999.99
ACELL,G08857542,1,1819.5
ACENTO S.COOP.AND,F01763432,1,1210.0
ACM 2020 CONS. DIAGN. AMIANTO,B65157596,1,17666.0
