nom_adjudicatari,nif,tipus_contractes,objecte,procediment,import_adjudicacio_net_sense_iva,import_adjudicacio_iva,nombre_contractes
+ EDUCACIO SCCL,F67197368,Serveis,Activitats socioeducatives a la Franja Besòs,Menor,9700.0,9700.0,1
"1897 AUDIOVISUALS, SL",B16738411,Serveis,Serveis per actes puntuals no recurrents,Menor A Genèrica,1937.5,2344.38,2
2 PI R INGENIEROS -1 S.L.,B60986924,Serveis,Suport tècnic departament Espai Urbà,Menor,14950.0,18089.5,1
"23-45 ARQUITECTES ASSOCIATS, S",B64592454,Serveis,Redacció proj exec escala Romans Ed. Vell,Menor,13499.1,16333.91,1
2BGARQTES SOC. CIVIL PROFESION,J64116635,Serveis,Redacció projecte adequació clim. St. Pere Apóstol,Menor,4800.0,5808.0,1
2BMFG ARQUITECTES SLP,B65595308,Serveis,ACTUALITZACIO DICTAMEN EDIFICI C/ SANT ISCLE 73,Menor,3100.0,3751.0,1
2R SYSTEM SL,B60766896,Serveis,Servei de bugaderia del CAACB,Menor,9001.64,10891.98,1
360 FOOD SOLUTIONS,B65421653,Serveis,Actes puntuals i no recurrents Com. Innovació Dig.,Menor A Genèrica,2580.0,2838.0,1
3POC CONSULTING SL,B66405788,Serveis,Adequació pintura pista bàsquet Espanya Industrial,Menor,12271.0,14847.91,1
5ASEC ESPAÑA SAU,A79540787,Serveis,Servei de bugaderia i tintoreria Direcció Protocol,Obert simplificat,38400.0,46464.0,1
7 D'AVENTURA S.L.,B65392615,Serveis,Gestió dels terrenys d’acampada de Can Girona,Obert simplificat,27628.97,33431.05,1
9 TEAM GRUP SL,B65054975,Obres,M - Subst fusteries local Art per a tothom,Menor,39993.66,48392.33,1
A ASSO CULT COLLECTIU AGUDELLS,G58127770,Serveis,ACTIVITATS CULTURALS CENTRES CÍVICS I CASALS BARRI,Menor A Genèrica,1160.31,1403.98,1
A PEU DE PAGINA S.L.N.E.,B64836778,Subministraments,Adq. llibres pels guanyadors dels Jocs Florals,Menor,952.62,990.72,1
A.B.D. ASOC. BIENESTAR Y DESAR,G59435180,Serveis,Conducció emocional als ECOR,Obert,26974.35,26974.35,1
A12 ESTUDIS I RESERCA INTERUNI,G64798549,Serveis,Creació punt trobada virtual G.Gran joves docents,Menor,4724.0,4724.0,1
AB VANDEKERCKHOVE SL,B29685971,Subministraments,Subministrament de banderes,Menor,607.04,734.52,1
"ABACUS, S.C.C.L.",F08226714,Serveis,ACTIVITATS PUNTUALS ALS CENTRES CÍVICS NB,Menor A Genèrica,377.07,456.25,1
"ABAD SALTÓ AUDITORS, SLP",B43966696,Serveis,Revisió limitada comptes explotació2020 Dte.Gràcia,Obert simplificat abreujat,4950.0,5989.5,1
ABALINGUA GLOBAL SOLUTIONS SL,B60809142,Serveis,Organització actes protocol.laris,Menor A Genèrica,1258.0,1522.18,1
