unitat_funcional_gestora_organic_,tipologia_contracte,numero_de_lexpedient,exercici_de_lexpedient,objecte_del_contracte,import_dadjudicacio_amb_iva,data_inici_execucio,data_fi_execucio,denominacio_empresa_adjudicataria,nif_empresa_adjudicataria
Districte de Sants-Montjuïc,Serveis,22000189,2022,Assis.tècniques so/video als actes del DTE03 Sants,17258.23,2022-02-18,2022-12-31,"1897 AUDIOVISUALS, SL",B16738411
Districte de Sants-Montjuïc,Serveis,22000863,2022,Serveis audiovisuals consells de barri i actes VP,15125.0,2022-03-24,2022-12-31,"1897 AUDIOVISUALS, SL",B16738411
Districte de Sarrià - Sant Gervasi,Subministraments,22000985,2022,Compra llibres guanyadors jocs florals escolars,993.22,2022-03-25,2022-06-30,A PEU DE PAGINA S.L.N.E.,B64836778
Gerència d'Area d'Ecologia Urbana,Serveis,22000833,2022,Definició dos casos d'ús de treball col·laboratiu,18136.62,2022-03-15,2022-12-16,ACCENTURE SL,B79217790
Districte de Sant Martí,Serveis,22000260,2022,Servei de subtitulació i interpretació de signes,16310.8,2022-02-01,2022-07-31,ACCESIBILITAT GLOBAL INT.LLENG,B64756794
Gerència Persones i Desenv. Organitzatiu,Serveis,22000657,2022,Neteja aules Universitat de Barcelona,5929.0,,,"ACCIONA FACILITY SERVICES, S.A",A08175994
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000537,2022,Formació fisica GUB Cem Mundet,1635.16,2022-02-23,2022-12-31,ACELL,G08857542
Districte de l'Eixample,Serveis,22000441,2022,"Control de l'encapsulat de coberta Pg.St Joan,122",15730.0,,,ACM 2020 CONS. DIAGN. AMIANTO,B65157596
Districte de Sant Martí,Obres,22000256,2022,Obres ampliació vorera C. Badajoz,48399.1,2022-02-01,2022-03-31,ACSA OBRAS E INFRAESTRUCTURAS,A08112716
Districte de Gràcia,Serveis,22000225,2022,Programació concerts cicles La Sedeta,4840.0,2022-01-27,2022-12-31,"ACTURA 12, S.L.",B65758427
Districte de Sarrià - Sant Gervasi,Serveis,22000598,2022,actuació musical per celebrar 8 de març,544.5,2022-03-05,2022-03-05,"ACTURA 12, S.L.",B65758427
Districte de l'Eixample,Subministraments,22000804,2022,Subm_instal·panells fono absorbent Espai L.Anglada,17482.09,,,"ACUSTICA INTEGRAL, SL",B60991650
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000435,2022,Serv. supervisió i garantia ampliadors RESCAT,10886.37,2022-02-16,2022-07-30,ADTEL SISTEMAS DE TELECOMUNICA,B63181440
Districte de l'Eixample,Serveis,22000645,2022,Redac.informe tècnic conservació Edif.Valencia 419,4059.55,,,AE-BGC2005,B63728836
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000330,2022,Video Memòria Promoció Econòmica 2021,18139.11,,,"AFTER BARCELONA, S.L.",B64457427
"Ger. Àrea Economia, Recursos i Prom.Eco",Serveis,22000982,2022,Servei conceptualització campanya comerç,18119.75,,,"AFTER BARCELONA, S.L.",B64457427
Gerència de Recursos,Serveis,22000222,2022,DRETS DE REPRODUCCIÓ DE FOTOGRAFIES,60.5,,,"AGENCIA EFE, S.A.",A28028744
Districte de Nou Barris,Serveis,22000663,2022,CICLE DE MÚSICA DE BANDA A NOU BARRIS,14999.0,2022-02-28,2022-12-31,AGRUP.SARDANIST.LA IDEAL D'EN,G58038167
Districte de Sant Andreu,Serveis,22001054,2022,Actuació Banda Simfònica Roquetes-Nou Barris,1100.0,2022-09-24,2022-09-24,AGRUP.SARDANIST.LA IDEAL D'EN,G58038167
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000471,2022,Formació física GUB CEM Piscines Bernat Picornell,14730.19,2022-02-23,2022-12-31,AIGUA ESPORTS I SALUT S.L.,B62849674
Districte de Sarrià - Sant Gervasi,Serveis,22000199,2022,Manteniment dipòsit al c/Nebuloses fins 31/12/22,4148.44,2022-01-26,2022-12-31,"AIGÜES DE BARCELONA, EMPRESA M",A66098435
Gerència de Recursos,Serveis,22000515,2022,Reparació col·lector clina C. Calàbria 66,5056.59,,,AIRLAN SA,A48223689
Districte de Les Corts,Serveis,22000867,2022,Coordinació I Producció Fira Sant Jordi 2022,12902.23,2022-03-15,2022-07-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte de Nou Barris,Serveis,22000706,2022,SUPORT PROGRAMACIONS ESDEVENIMENTS,18148.79,2022-03-07,2022-12-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte d' Horta-Guinardó,Serveis,22000773,2022,Acte reconeixement víctimes COVID-19,3991.31,2022-03-15,2022-12-31,AIRUN SERVEIS CULTURALS SL,B61519344
Districte de Sarrià - Sant Gervasi,Subministraments,22000253,2022,Lloguer furgoneta brigades fins a 31/12/22,8276.4,2022-01-28,2022-12-31,ALPHABET ESPAÑA FLEET MANAGEME,A91001438
Districte de Sants-Montjuïc,Serveis,22000998,2022,Serveis mèdics preventius per activitats 2022,6668.0,2022-04-01,2022-12-31,"AMBULANCIES CATALUNYA, SCCL",F08726978
Districte de Nou Barris,Serveis,22000151,2022,SERVEIS D'ASSISTÈNCIA SANITÀRIA EN ESDEVENIMENTS,4500.0,2022-01-24,2022-12-31,AMBUMEDIC SERVICE,B65348906
Districte de Sants-Montjuïc,Serveis,22000748,2022,Serveis de pirotècnia per festes majors,4235.0,2022-06-15,2022-12-31,"ANTIGUA CASA MANUEL ESTALELLA,",B08958209
"Ger. Drets Socials, Just. Global, Femini",Obres,22000112,2022,Climatització  i adequació interior CSS Fort Pienc,46247.49,2022-01-18,2022-12-31,API MOVILIDAD SA,A78015880
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000279,2022,Servei d'inspeccions tècniques de vehicles de GUB.,2500.01,2022-02-02,2022-12-31,"APPLUS ITEUVE TECHNOLOGY,S.L.",B81041444
"Ger. Drets Socials, Just. Global, Femini",Serveis,22000873,2022,Control Qualitat Allotjaments C/Irena Sendler,17664.79,2022-03-16,2022-12-31,"APPLUS NORCONTROL, SLU",B15044357
Gerència de Mobilitat i Infraestructures,Serveis,22000903,2022,Redacció memòries valorades,17423.5,2022-03-24,2022-05-25,AREA CIVITAS ARQUITECTURA E IN,B66837741
Gerència d'Area d'Ecologia Urbana,Serveis,22000673,2022,Assessorament jurídic tramitació ORPIMO,17545.0,2022-03-02,2022-09-30,"AREA PUBLICA ABOGADAS,S.L.P",B02902971
Gerència de l'Arquitecte en Cap,Serveis,22001091,2022,Informe estat Barcelona i potencial urbanístic.,18089.5,2022-03-30,2022-04-30,ARETIAN URBAN ANALYTICS AND DE,83-1302874
Gerència d'Àrea de Seguretat i Prevenció,Serveis,22000643,2022,"Direcció obra i CSS obres reforma Edif.C/Tàpies,4",18146.67,2022-03-03,2022-12-31,"ARIBAU 70, SL",B63472872
Gerència d'Àrea de Seguretat i Prevenció,Subministraments,22000953,2022,Submin. material específic per a la UREP,18124.35,2022-03-26,2022-07-31,ARMERIA RAVELL S.L.,B08073264
Districte de l'Eixample,Serveis,22000683,2022,Redac.project enderroc mur Av.Paral·lel 102,2722.38,,,ARQ PSG10 SL,B66213869
Districte de l'Eixample,Serveis,22000732,2022,Redac.proj impermeabilitzar mur c/Comte Borrell 5,2871.97,,,ARQ PSG10 SL,B66213869
Districte de l'Eixample,Serveis,22000733,2022,Redac.proj impermeabilitzar mitgera Paral·lel 102,2046.28,,,ARQ PSG10 SL,B66213869
Districte de Ciutat Vella,Serveis,22000378,2022,Red.Proj.Ex.ref. pl.baixa biblioteca la fraternita,10115.6,2022-02-11,2022-04-11,ARQUITECTURA GENIS PLANELLES S,B64782105
Districte de Sarrià - Sant Gervasi,Serveis,22001000,2022,Espectacle dansa inclusiva Invictus Sense Límits,150.0,2022-03-25,2022-09-30,"ARTISTAMENTE, SOCIEDAD LIMITAD",B67515817
Districte de Sarrià - Sant Gervasi,Obres,22001003,2022,Reparació tram superior de paviment al c.Santpedor,17413.11,2022-03-25,2022-04-30,ASFALTOS AUGUSTA SL,B64455835
Districte de Nou Barris,Serveis,22000492,2022,LLICÈNCIES AUTODESK DISTRICTE DE NOU BARRIS,2698.3,2022-02-21,2023-02-20,ASIDEK-ASES.SIST.E INTEGRADORE,B61117099
"Ger. Drets Socials, Just. Global, Femini",Subministraments,22000913,2022,Subministrament llicències i manteniment AutoDesk,4942.85,2022-03-17,2022-12-31,ASIDEK-ASES.SIST.E INTEGRADORE,B61117099
Gerència de Recursos,Privat d'Administració Pública,22000794,2022,Subscripció base de dades AECA 2022,450.0,,,ASO ESPAÑOLA CONTABILIDAD ADMO,G28729218
Districte d' Horta-Guinardó,Serveis,22000313,2022,GIMNÀSTICA GENT GRAN FONT DEL GOS,2147.25,2022-02-12,2022-12-31,ASOC. ESPORT-3,G08880577
