organ_contractant,contracte_num,tipus_de_contracte_obres_serveis_subministraments,objecte_del_contracte,nom_adjudicatari_rao_social,nif_adjudicatari_persones_fisiques_anonimitzat,data_formalitzacio_contracte,preu_contracte_sense_iva,preu_contracte_iva_inclos,data_formalitzacio_modificacio,import_modificacio_sense_iva,import_modificacio_iva_inclos,prevista_en_el_plec,no_prevista_en_el_plec,%_variacio_sobre_el_preu_del_contracte_sense_iva,any,tipus_de_modificaciò,tipo_modificaciò
Gerència de Recursos  (codi antic  0101),17004830-005,Serveis,"MANTENIMENT SIST.SEGURETAT, INCENDIS LOT 2",INV PROTECCION SL,B85582013,2017-12-04 00:00:00,816500.56,987965.68,2021-09-09 00:00:00,49872.45,60345.66,,X,6.108072969355955,2021,increment,Increment
Gerència de Recursos  (codi antic  0101),18003448L01-003,Serveis,"Mant. edificis Lot 1 Ger. Recursos, Ciutat Vella",UTE FAUS-MIATEC MANT.EDIF.LOT 1 CON,U67421511,2019-06-01 00:00:00,5575871.82,6746804.86,2021-05-06 00:00:00,0.0,0,,X,0.0,2021,Importe no modificado,Importe no modificado
Gerència de Recursos  (codi antic  0101),18003448L01-004,Serveis,"Mant. edificis Lot 1 Ger. Recursos, Ciutat Vella",UTE FAUS-MIATEC MANT.EDIF.LOT 1 CON,U67421511,2019-06-01 00:00:00,5575871.82,6746804.86,2021-07-14 00:00:00,404171.53,489047.55,X,,5.990562027311992,2021,increment,Increment
Gerència de Recursos  (codi antic  0101),18003448L02-003,Serveis,"Mant. edificis Lot 2 Ger. Drets Social, Eixample",IMESAPI SA,A28010478,2019-06-01 00:00:00,5118666.21,6193586.22,2021-05-06 00:00:00,0.0,0,,X,0.0,2021,Importe no modificado,Importe no modificado
Gerència de Recursos  (codi antic  0101),18003448L02-004,Serveis,"Mant. edificis Lot 2 Ger. Drets Social, Eixample",IMESAPI SA,A28010478,2019-06-01 00:00:00,5118666.21,6193586.22,2021-07-14 00:00:00,361602.37,437538.87,X,,7.064386603165515,2021,increment,Increment
Gerència de Recursos  (codi antic  0101),18003448L03-003,Serveis,"Mant. edificis Lot 3 Seguretat i Prev, Ecol.Urbana","UTE API MOVILIDAD, SA-ILUNION LIMPI",U88376264,2019-06-01 00:00:00,3929809.55,4755069.55,2021-05-06 00:00:00,0.0,0,,X,0.0,2021,Importe no modificado,Importe no modificado
Gerència de Recursos  (codi antic  0101),18003448L03-004,Serveis,"Mant. edificis Lot 3 Seguretat i Prev, Ecol.Urbana","UTE API MOVILIDAD, SA-ILUNION LIMPI",U88376264,2019-06-01 00:00:00,3929809.55,4755069.55,MODIFICACIÓ CONTRACTE ANUL·LADA,,,,,,2021,Importe no modificado,Importe no modificado
Gerència de Recursos  (codi antic  0101),18003448L04-003,Serveis,"Mant. edificis Lot 4 Sants-Montjuic, Les Corts",SERVICIOS E INSTALACIONES ALDAGO SL,B61563169,2019-06-01 00:00:00,3078598.94,3725104.73,2021-05-06 00:00:00,0.0,0,,X,0.0,2021,Importe no modificado,Importe no modificado
Gerència de Recursos  (codi antic  0101),18003448L04-004,Serveis,"Mant. edificis Lot 4 Sants-Montjuic, Les Corts",SERVICIOS E INSTALACIONES ALDAGO SL,B61563169,2019-06-01 00:00:00,3078598.94,3725104.73,2021-07-14 00:00:00,221574.7,268105.39,X,,7.197257723995709,2021,increment,Increment
Gerència de Recursos  (codi antic  0101),18003448L05-003,Serveis,"Mant. edificis Lot 5 Sarrià-Sant Gervasi, Gràcia",UTE FAUS-MIATEC MANT.EDIF.LOT 5 CON,U67421529,2019-06-01 00:00:00,2491944.63,3015253.0,2021-05-06 00:00:00,0.0,0,,X,0.0,2021,Importe no modificado,Importe no modificado
