Año,Trimestre,Tipo_entidad,Nombre_entidad,Procedimiento,Tipo de contrato,Número,Importe
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,2.0,859167.54
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,50.0,2477682468.39
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,8.0,1805139.53
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Gestió Serveis Públics/Concessions,1.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,13.0,366607.91
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,4.0,310181.78
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,62339.83
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,13.0,319132.03
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,7.0,266805.97
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Serveis,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,5.0,1307824.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Serveis,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Serveis,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Privats de l'Administració,1.0,29645.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,96.0,3684955.82
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,31.0,85702.7
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Privats de l'Administració,7.0,1835247.8
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,17.0,566366.22
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,484.0,4215770.53
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,71.0,525493.61
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,10.0,151677.82
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,146.0,119881.49
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Subministraments,221.0,77787.52
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Privats de l'Administració,8.0,2210.97
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Serveis,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Concurs de Projectes,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,15.0,12625.5
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Administratius especials,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Obres,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,7.0,514955.88
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Subministraments,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Gestió Serveis Públics/Concessions,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Privats de l'Administració,0.0,0.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Administratius especials,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,0.0,0.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,62.0,38962634.51
