Año,Trimestre,Tipo_entidad,Nombre_entidad,Procedimiento,Tipo de contrato,Número,Importe
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,2.0,859167.54
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,50.0,2477682468.39
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,8.0,1805139.53
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,13.0,366607.91
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,4.0,310181.78
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,62339.83
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,13.0,319132.03
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,7.0,266805.97
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,5.0,1307824.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Privats de l'Administració,1.0,29645.0
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,96.0,3684955.82
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,31.0,85702.7
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Privats de l'Administració,7.0,1835247.8
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,17.0,566366.22
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,484.0,4215770.53
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,71.0,525493.61
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,10.0,151677.82
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,146.0,119881.49
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Subministraments,221.0,77787.52
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Privats de l'Administració,8.0,2210.97
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,15.0,12625.5
2021,1,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,7.0,514955.88
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,62.0,38962634.51
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,4.0,1737192.26
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,5.0,488494.64
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,18.0,924598.61
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,1.0,74778.0
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,96793.94
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,14.0,326704.21
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,11.0,394689.88
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,3.0,24062.4
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Serveis,6.0,492469.33
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Subministraments,3.0,223920.63
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,141.0,4832132.15
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,31.0,40700.51
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,59.0,2090516.82
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,545.0,5271267.05
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,111.0,836692.31
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,16.0,189968.97
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,366.0,290107.29
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Subministraments,417.0,183828.15
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Privats de l'Administració,10.0,5025.03
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,72.0,65419.67
2021,2,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,2.0,41709.7
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,1.0,110133.05
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,67.0,34934928.8
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,12.0,3720403.43
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Gestió Serveis Públics/Concessions,1.0,700000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,15.0,1953868.88
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,10.0,397700.94
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,8.0,616911.69
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,3.0,209825.8
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Serveis,20.0,767204.5
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Subministraments,9.0,390138.14
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Serveis,3.0,56340000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Restringits,Gestió Serveis Públics/Concessions,2.0,125000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Licitacions amb negociació,Serveis,3.0,100000.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Serveis,6.0,1327007.35
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Subministraments,1.0,22087.28
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Negociat sense publicitat,Privats de l'Administració,1.0,38108.95
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Serveis,81.0,3638576.49
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Basats en acord marc,Subministraments,13.0,39950.33
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Obres,75.0,2851709.07
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Serveis,411.0,3559869.84
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Subministraments,76.0,613998.87
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors,Privats de l'Administració,1.0,11979.0
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Menors derivats autorització genèrica de despesa,Serveis,8.0,1339075.01
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Designació de Formadors,Serveis,72.0,113883.32
2021,3,Ajuntament de Barcelona,Ajuntament de Barcelona,Tramitació d'Emergència,Serveis,8.0,1339075.01
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Obres,1.0,2619474.16
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Serveis,63.0,17701929.22
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Oberts,Subministraments,6.0,2928293.76
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Obres,17.0,2691107.67
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Serveis,22.0,1048560.04
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat,Subministraments,12.0,769877.59
2021,4,Ajuntament de Barcelona,Ajuntament de Barcelona,Obert simplificat abreujat,Obres,1.0,44777.26
